total 37651100
-rw-r--r--    1 alprod     323352 Jan 11  2002 ab0562.edir
-rw-r--r--    1 alprod     369765 Jan 11  2002 ab0563.edir
-rw-r--r--    1 alprod     376731 Jan 11  2002 ab0564.edir
-rw-r--r--    1 alprod     530307 Jan 11  2002 ab0565.edir
-rw-r--r--    1 alprod     231093 Jan 11  2002 ab0566.edir
-rw-r--r--    1 alprod     338661 Jan 11  2002 ab0567.edir
-rw-r--r--    1 alprod     619569 Jan 11  2002 ab0568.edir
-rw-r--r--    1 alprod     219510 Jan 11  2002 ab0569.edir
-rw-r--r--    1 alprod     520749 Jan 11  2002 ab0570.edir
-rw-r--r--    1 alprod     600048 Jan 11  2002 ab0571.edir
-rw-r--r--    1 alprod     528687 Jan 11  2002 ab0572.edir
-rw-r--r--    1 alprod     541566 Jan 11  2002 ab0573.edir
-rw-r--r--    1 alprod     491994 Jan 11  2002 ab0574.edir
-rw-r--r--    1 alprod     505602 Jan 11  2002 ab0575.edir
-rw-r--r--    1 alprod     434160 Jan 11  2002 ab0576.edir
-rw-r--r--    1 alprod     461133 Jan 11  2002 ab0577.edir
-rw-r--r--    1 alprod     495558 Jan 11  2002 ab0578.edir
-rw-r--r--    1 alprod     210195 Jan 11  2002 ab0579.edir
-rw-r--r--    1 alprod     484380 Jan 11  2002 ab0580.edir
-rw-r--r--    1 alprod     441936 Jan 11  2002 ab0581.edir
-rw-r--r--    1 alprod     245025 Jan 11  2002 ab0582.edir
-rw-r--r--    1 alprod     413343 Jan 11  2002 ab0583.edir
-rw-r--r--    1 alprod     272808 Jan 11  2002 ab0584.edir
-rw-r--r--    1 alprod     440883 Jan 11  2002 ab0585.edir
-rw-r--r--    1 alprod     269244 Jan 11  2002 ab0586.edir
-rw-r--r--    1 alprod     447930 Jan 11  2002 ab0587.edir
-rw-r--r--    1 alprod     515646 Jan 11  2002 ab0588.edir
-rw-r--r--    1 alprod     500985 Jan 11  2002 ab0589.edir
-rw-r--r--    1 alprod     593163 Jan 11  2002 ab0590.edir
-rw-r--r--    1 alprod      96147 Jan 11  2002 ab0591.edir
-rw-r--r--    1 alprod     210843 Jan 11  2002 ab0599.edir
-rw-r--r--    1 alprod     487539 Jan 11  2002 ab0600.edir
-rw-r--r--    1 alprod     368226 Jan 11  2002 ab0601.edir
-rw-r--r--    1 alprod     434970 Jan 11  2002 ab0602.edir
-rw-r--r--    1 alprod     560520 Jan 11  2002 ab0603.edir
-rw-r--r--    1 alprod     626940 Jan 11  2002 ab0604.edir
-rw-r--r--    1 alprod     412533 Jan 11  2002 ab0605.edir
-rw-r--r--    1 alprod     612765 Jan 11  2002 ab0606.edir
-rw-r--r--    1 alprod     665496 Jan 11  2002 ab0607.edir
-rw-r--r--    1 alprod     554121 Jan 11  2002 ab0608.edir
-rw-r--r--    1 alprod     369684 Jan 11  2002 ab0609.edir
-rw-r--r--    1 alprod     481464 Jan 11  2002 ab0610.edir
-rw-r--r--    1 alprod     445824 Jan 11  2002 ab0611.edir
-rw-r--r--    1 alprod     319059 Jan 11  2002 ab0612.edir
-rw-r--r--    1 alprod     454815 Jan 11  2002 ab0613.edir
-rw-r--r--    1 alprod     473607 Jan 11  2002 ab0614.edir
-rw-r--r--    1 alprod     511515 Jan 11  2002 ab0615.edir
-rw-r--r--    1 alprod     378270 Jan 11  2002 ab0616.edir
-rw-r--r--    1 alprod     687609 Jan 11  2002 ab0617.edir
-rw-r--r--    1 alprod     483570 Jan 11  2002 ab0618.edir
-rw-r--r--    1 alprod     686232 Jan 11  2002 ab0619.edir
-rw-r--r--    1 alprod     467532 Jan 11  2002 ab0620.edir
-rw-r--r--    1 alprod      98172 Jan 11  2002 ab0621.edir
-rw-r--r--    1 alprod     520587 Jan 11  2002 ab0622.edir
-rw-r--r--    1 alprod     504711 Jan 11  2002 ab0623.edir
-rw-r--r--    1 alprod     563031 Jan 11  2002 ab0624.edir
-rw-r--r--    1 alprod     566919 Jan 11  2002 ab0625.edir
-rw-r--r--    1 alprod     482274 Jan 11  2002 ab0626.edir
-rw-r--r--    1 alprod     577611 Jan 11  2002 ab0627.edir
-rw-r--r--    1 alprod     698868 Jan 11  2002 ab0628.edir
-rw-r--r--    1 alprod     488025 Jan 11  2002 ab0629.edir
-rw-r--r--    1 alprod     616734 Jan 11  2002 ab0630.edir
-rw-r--r--    1 alprod     600291 Jan 11  2002 ab0631.edir
-rw-r--r--    1 alprod     744066 Jan 11  2002 ab0632.edir
-rw-r--r--    1 alprod     785619 Jan 11  2002 ab0633.edir
-rw-r--r--    1 alprod     573966 Jan 11  2002 ab0634.edir
-rw-r--r--    1 alprod     829278 Jan 11  2002 ab0635.edir
-rw-r--r--    1 alprod     690687 Jan 11  2002 ab0636.edir
-rw-r--r--    1 alprod     893673 Jan 11  2002 ab0637.edir
-rw-r--r--    1 alprod     527148 Jan 11  2002 ab0638.edir
-rw-r--r--    1 alprod     416583 Jan 11  2002 ab0639.edir
-rw-r--r--    1 alprod     476037 Jan 11  2002 ab0640.edir
-rw-r--r--    1 alprod     539460 Jan 11  2002 ab0641.edir
-rw-r--r--    1 alprod     807975 Jan 11  2002 ab0642.edir
-rw-r--r--    1 alprod     659988 Jan 11  2002 ab0643.edir
-rw-r--r--    1 alprod     778572 Jan 11  2002 ab0644.edir
-rw-r--r--    1 alprod     702513 Jan 11  2002 ab0645.edir
-rw-r--r--    1 alprod     793152 Jan 11  2002 ab0646.edir
-rw-r--r--    1 alprod     650673 Jan 11  2002 ab0647.edir
-rw-r--r--    1 alprod     818424 Jan 11  2002 ab0648.edir
-rw-r--r--    1 alprod     788049 Jan 11  2002 ab0649.edir
-rw-r--r--    1 alprod     707859 Jan 11  2002 ab0650.edir
-rw-r--r--    1 alprod     763587 Jan 11  2002 ab0651.edir
-rw-r--r--    1 alprod     800118 Jan 11  2002 ab0652.edir
-rw-r--r--    1 alprod     688257 Jan 11  2002 ab0653.edir
-rw-r--r--    1 alprod     633177 Jan 11  2002 ab0654.edir
-rw-r--r--    1 alprod     815913 Jan 11  2002 ab0655.edir
-rw-r--r--    1 alprod     685179 Jan 11  2002 ab0656.edir
-rw-r--r--    1 alprod     695061 Jan 11  2002 ab0657.edir
-rw-r--r--    1 alprod     738153 Jan 11  2002 ab0658.edir
-rw-r--r--    1 alprod     595674 Jan 11  2002 ab0659.edir
-rw-r--r--    1 alprod     572022 Jan 11  2002 ab0660.edir
-rw-r--r--    1 alprod     805869 Jan 11  2002 ab0725.edir
-rw-r--r--    1 alprod     763668 Jan 11  2002 ab0726.edir
